K_cap,group_size,max_offspring,threshold,type,beta,rep,extinct,time_to_extinction
500,10,3,0.25,FALSE,2,1,1,379
1000,10,3,0.25,FALSE,2,1,1,438
250,1,6,0.25,FALSE,2,1,1,395
500,1,6,0.25,FALSE,2,1,1,348
1000,1,6,0.25,FALSE,2,1,1,354
250,3,6,0.25,FALSE,2,1,1,372
500,3,6,0.25,FALSE,2,1,1,379
1000,3,6,0.25,FALSE,2,1,1,385
250,5,6,0.25,FALSE,2,1,1,432
500,5,6,0.25,FALSE,2,1,1,399
1000,5,6,0.25,FALSE,2,1,1,401
250,10,6,0.25,FALSE,2,1,0,NA
500,10,6,0.25,FALSE,2,1,1,484
1000,10,6,0.25,FALSE,2,1,0,NA
250,1,10,0.25,FALSE,2,1,1,383
500,1,10,0.25,FALSE,2,1,1,431
1000,1,10,0.25,FALSE,2,1,1,367
250,3,10,0.25,FALSE,2,1,0,NA
500,3,10,0.25,FALSE,2,1,1,433
1000,3,10,0.25,FALSE,2,1,1,443
250,5,10,0.25,FALSE,2,1,1,427
500,5,10,0.25,FALSE,2,1,1,446
1000,5,10,0.25,FALSE,2,1,0,NA
250,10,10,0.25,FALSE,2,1,1,452
500,10,10,0.25,FALSE,2,1,0,NA
1000,10,10,0.25,FALSE,2,1,0,NA
250,1,3,0.5,FALSE,2,1,1,290
500,1,3,0.5,FALSE,2,1,1,331
1000,1,3,0.5,FALSE,2,1,1,333
250,3,3,0.5,FALSE,2,1,1,310
500,3,3,0.5,FALSE,2,1,1,298
1000,3,3,0.5,FALSE,2,1,1,325
250,5,3,0.5,FALSE,2,1,1,292
500,5,3,0.5,FALSE,2,1,1,338
1000,5,3,0.5,FALSE,2,1,1,345
250,10,3,0.5,FALSE,2,1,1,299
500,10,3,0.5,FALSE,2,1,1,367
1000,10,3,0.5,FALSE,2,1,1,399
250,1,6,0.5,FALSE,2,1,1,352
500,1,6,0.5,FALSE,2,1,1,385
1000,1,6,0.5,FALSE,2,1,1,391
250,3,6,0.5,FALSE,2,1,1,441
500,3,6,0.5,FALSE,2,1,1,373
1000,3,6,0.5,FALSE,2,1,1,408
250,5,6,0.5,FALSE,2,1,1,393
500,5,6,0.5,FALSE,2,1,1,361
1000,5,6,0.5,FALSE,2,1,1,446
250,10,6,0.5,FALSE,2,1,1,405
500,10,6,0.5,FALSE,2,1,1,398
1000,10,6,0.5,FALSE,2,1,1,382
250,1,10,0.5,FALSE,2,1,1,454
500,1,10,0.5,FALSE,2,1,1,386
1000,1,10,0.5,FALSE,2,1,1,485
250,3,10,0.5,FALSE,2,1,1,419
500,3,10,0.5,FALSE,2,1,1,389
1000,3,10,0.5,FALSE,2,1,1,470
250,5,10,0.5,FALSE,2,1,1,384
500,5,10,0.5,FALSE,2,1,1,422
1000,5,10,0.5,FALSE,2,1,1,467
250,10,10,0.5,FALSE,2,1,1,489
500,10,10,0.5,FALSE,2,1,1,452
1000,10,10,0.5,FALSE,2,1,0,NA
250,1,3,1,FALSE,2,1,1,337
500,1,3,1,FALSE,2,1,1,298
1000,1,3,1,FALSE,2,1,1,322
250,3,3,1,FALSE,2,1,1,336
500,3,3,1,FALSE,2,1,1,324
1000,3,3,1,FALSE,2,1,1,405
250,5,3,1,FALSE,2,1,1,365
500,5,3,1,FALSE,2,1,1,325
1000,5,3,1,FALSE,2,1,1,363
250,10,3,1,FALSE,2,1,1,340
500,10,3,1,FALSE,2,1,1,334
1000,10,3,1,FALSE,2,1,1,340
250,1,6,1,FALSE,2,1,1,340
500,1,6,1,FALSE,2,1,1,373
1000,1,6,1,FALSE,2,1,1,383
250,3,6,1,FALSE,2,1,1,337
500,3,6,1,FALSE,2,1,1,363
1000,3,6,1,FALSE,2,1,1,391
250,5,6,1,FALSE,2,1,1,389
500,5,6,1,FALSE,2,1,1,394
1000,5,6,1,FALSE,2,1,1,446
250,10,6,1,FALSE,2,1,1,352
500,10,6,1,FALSE,2,1,1,375
1000,10,6,1,FALSE,2,1,1,398
250,1,10,1,FALSE,2,1,1,384
500,1,10,1,FALSE,2,1,1,387
1000,1,10,1,FALSE,2,1,1,451
250,3,10,1,FALSE,2,1,1,369
500,3,10,1,FALSE,2,1,1,422
1000,3,10,1,FALSE,2,1,1,418
250,5,10,1,FALSE,2,1,1,431
500,5,10,1,FALSE,2,1,1,386
1000,5,10,1,FALSE,2,1,1,421
250,10,10,1,FALSE,2,1,1,386
500,10,10,1,FALSE,2,1,1,414
1000,10,10,1,FALSE,2,1,1,431
250,1,3,0,TRUE,4,1,1,294
500,1,3,0,TRUE,4,1,1,305
1000,1,3,0,TRUE,4,1,1,372
250,3,3,0,TRUE,4,1,1,302
500,3,3,0,TRUE,4,1,1,321
1000,3,3,0,TRUE,4,1,1,370
250,5,3,0,TRUE,4,1,1,370
500,5,3,0,TRUE,4,1,1,431
1000,5,3,0,TRUE,4,1,1,431
250,10,3,0,TRUE,4,1,1,368
500,10,3,0,TRUE,4,1,0,NA
1000,10,3,0,TRUE,4,1,0,NA
250,1,6,0,TRUE,4,1,1,396
500,1,6,0,TRUE,4,1,1,398
1000,1,6,0,TRUE,4,1,1,379
250,3,6,0,TRUE,4,1,1,349
500,3,6,0,TRUE,4,1,1,405
1000,3,6,0,TRUE,4,1,1,405
250,5,6,0,TRUE,4,1,1,428
500,5,6,0,TRUE,4,1,0,NA
1000,5,6,0,TRUE,4,1,0,NA
250,10,6,0,TRUE,4,1,0,NA
500,10,6,0,TRUE,4,1,0,NA
1000,10,6,0,TRUE,4,1,0,NA
250,1,10,0,TRUE,4,1,1,443
500,1,10,0,TRUE,4,1,0,NA
1000,1,10,0,TRUE,4,1,1,395
250,3,10,0,TRUE,4,1,1,409
500,3,10,0,TRUE,4,1,0,NA
1000,3,10,0,TRUE,4,1,0,NA
250,5,10,0,TRUE,4,1,0,NA
500,5,10,0,TRUE,4,1,0,NA
